Metric                 Value
---------------------  -----
startingCapital        357  
finalCapital           647  
profit                 289  
profitPct              81   
growth                 2    
totalTrades            9    
barCount               8    
maxDrawdown            -19  
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             4    
rmultipleStdDev        5    
systemQuality          1    
profitFactor           11   
proportionProfitable   1    
percentProfitable      67   
returnOnAccount        20   
averageProfitPerTrade  32   
numWinningTrades       6    
numLosingTrades        3    
averageWinningTrade    3    
averageLosingTrade     0    
expectedValue          2    
