Metric                 Value
---------------------  -----
startingCapital        99   
finalCapital           150  
profit                 51   
profitPct              52   
growth                 2    
totalTrades            11   
barCount               12   
maxDrawdown            -3   
maxDrawdownPct         -2   
maxRiskPct             2    
expectency             2    
rmultipleStdDev        3    
systemQuality          1    
profitFactor           9    
proportionProfitable   1    
percentProfitable      73   
returnOnAccount        26   
averageProfitPerTrade  5    
numWinningTrades       8    
numLosingTrades        3    
averageWinningTrade    7    
averageLosingTrade     -2   
expectedValue          5    
