Metric                 Value
---------------------  -----
startingCapital        357  
finalCapital           381  
profit                 24   
profitPct              7    
growth                 1    
totalTrades            6    
barCount               16   
maxDrawdown            -12  
maxDrawdownPct         -3   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           3    
proportionProfitable   1    
percentProfitable      67   
returnOnAccount        2    
averageProfitPerTrade  4    
numWinningTrades       4    
numLosingTrades        2    
averageWinningTrade    5    
averageLosingTrade     -3   
expectedValue          2    
