direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget,entry,open,high,low,close,volume,time,longTermDirection,upTrendCounter,downTrendCounter,longSma,shortSma,longEma,shortEma,rsi
1,2020/01/24,66.57,2020/01/29,67.63,1.0600000000000023,1.5923088478293563,1.0159230884782935,2.0000000000000036,,0.7961544239146767,2,exit-rule,65.23859999999999,,,[object Object],5.75,5.95,5.66,5.8,2225820,2020-02-19T00:00:00.000Z,1,4,0,6.346333333333334,5.594285714285713,28.742513075307944,5.70710878372074,37.93103448275862
1,2020/02/11,66.83,2020/02/20,67.04,0.21000000000000796,0.3142301361664043,1.003142301361664,2.000000000000006,,0.15711506808320164,5,exit-rule,65.4934,,,[object Object],3.37,3.38,3,3.2,1876297,2020-03-10T00:00:00.000Z,1,0,11,5.069999999999999,3.6957142857142853,13.771609860994213,3.6699374822980313,18.89952153110049
1,2020/03/27,53.42,2020/03/31,55.06,1.6400000000000006,3.07001123174841,1.0307001123174842,1.9999999999999942,,1.5350056158742094,1,exit-rule,52.351600000000005,,,[object Object],2.75,2.83,2.5,2.83,1540841,2020-03-13T00:00:00.000Z,1,0,14,4.689000000000001,3.172857142857143,11.76934553723567,3.126692375344482,17.43341404358354
1,2020/04/09,59.36,2020/04/13,58.1728,-1.1871999999999971,-1.9999999999999951,0.9800000000000001,1.9999999999999951,,-1,0,stop-loss,58.1728,,,[object Object],2.93,3.25,2.88,3.23,1873810,2020-04-12T23:00:00.000Z,1,5,0,3.0126666666666666,2.892857142857143,5.21146595733187,2.963081214878245,63.05732484076433
1,2020/05/21,63.1,2020/05/22,61.838,-1.2620000000000005,-2.000000000000001,0.98,2.000000000000001,,-1,0,stop-loss,61.838,,,[object Object],3.4,3.59,3.34,3.55,1205931,2020-04-16T23:00:00.000Z,1,9,0,2.9390000000000005,3.2471428571428573,4.788218561102176,3.26995929064507,58.45070422535211
1,2020/05/27,62.32,2020/05/29,61.9,-0.4200000000000017,-0.6739409499358179,0.9932605905006419,2.000000000000002,,-0.3369704749679086,1,exit-rule,61.0736,,,[object Object],5.8,5.8,5.33,5.5,1823241,2020-06-11T23:00:00.000Z,1,6,0,4.9399999999999995,6.137142857142856,5.181435321003564,5.787870763944033,59.18367346938775
1,2020/07/15,59.03,2020/07/23,61.255,2.2250000000000014,3.7692698627816386,1.0376926986278163,1.9999999999999973,,1.8846349313908222,5,exit-rule,57.8494,,,[object Object],7.33,7.68,6.82,7.6,5001300,2020-07-13T23:00:00.000Z,1,4,0,6.065666666666668,7.112857142857143,6.074613446968108,7.126294358281216,59.856630824372765
1,2020/08/07,48.53,2020/08/13,49.26,0.7299999999999969,1.504224191221918,1.0150422419122191,1.999999999999995,,0.752112095610961,3,exit-rule,47.559400000000004,,,[object Object],17.55,17.7,16.23,17.1,7132867,2020-08-05T23:00:00.000Z,1,4,0,9.429,15.854285714285712,10.755017939083476,15.712541462223419,71.05380168963984
-1,2020/08/27,49.79,2020/09/09,49.53,-0.259999999999998,-0.5221932114882467,0.9947780678851176,2.0000000000000058,,-0.26109660574412263,7,exit-rule,48.7942,,,[object Object],9.41,9.45,8.8,9.06,6688552,2020-08-26T23:00:00.000Z,-1,0,14,12.57366666666667,10.258571428571429,11.52909652190577,10.42839313473095,12.664714494875525
1,2020/09/16,50.51,2020/09/17,49.4998,-1.0101999999999975,-1.9999999999999951,0.9800000000000001,1.9999999999999951,,-1,0,stop-loss,49.4998,,,[object Object],8.14,8.17,7.65,8.08,3320140,2020-09-30T23:00:00.000Z,1,4,0,8.661,7.765714285714286,8.797243147596701,7.940994066033869,48.07692307692308
1,2020/10/02,51.5,2020/10/06,51.71,0.21000000000000085,0.4077669902912638,1.0040776699029126,2.000000000000002,,0.20388349514563167,1,exit-rule,50.47,,,[object Object],26.67,33.28,24.53,32.7,35324406,2020-12-02T00:00:00.000Z,1,5,0,20.822666666666667,32.53142857142858,22.299714859985137,30.616883357722294,75.08896797153025
1,2020/10/13,54.27,2020/10/15,53.1846,-1.0854,-1.9999999999999998,0.98,1.9999999999999998,,-1,1,stop-loss,53.1846,,,[object Object],32.19,38.2229,31.912,37.81,17141785,2020-12-10T00:00:00.000Z,1,5,0,24.209666666666667,33.94428571428572,26.265067986968056,34.14909374213368,66.62585700293829
1,2020/10/19,54.47,2020/10/20,53.3806,-1.0893999999999977,-1.9999999999999958,0.9800000000000001,1.9999999999999958,,-1,0,stop-loss,53.3806,,,[object Object],36.2,41,36.02,39.29,18830507,2020-12-16T00:00:00.000Z,1,9,0,27.049666666666663,36.78857142857142,28.944892158262512,36.66072887934699,52.57510729613734
1,2020/11/04,45.11,2020/11/06,45.54,0.4299999999999997,0.9532254489026818,1.0095322544890268,2.0000000000000013,,0.47661272445134056,1,exit-rule,44.2078,,,[object Object],3.07,3.23,3,3.16,2329607,2020-02-19T00:00:00.000Z,1,4,0,2.1990133333333333,2.5828571428571427,24.070233012094832,2.72169980283891,73.30877046378242
1,2020/11/27,47.36,2020/12/03,49.92,2.5600000000000023,5.405405405405411,1.0540540540540542,2.000000000000005,,2.7027027027026986,3,exit-rule,46.4128,,,[object Object],1.6,1.8,1.56,1.69,799042,2020-03-25T00:00:00.000Z,1,4,0,2.2396666666666665,1.4857142857142858,6.102889813462681,1.586012407271396,30.51643192488264
