Metric                 Value
---------------------  -----
startingCapital        99   
finalCapital           161  
profit                 62   
profitPct              63   
growth                 2    
totalTrades            6    
barCount               5    
maxDrawdown            -4   
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             5    
rmultipleStdDev        8    
systemQuality          1    
profitFactor           8    
proportionProfitable   1    
percentProfitable      50   
returnOnAccount        16   
averageProfitPerTrade  10   
numWinningTrades       3    
numLosingTrades        3    
averageWinningTrade    0    
averageLosingTrade     0    
expectedValue          0    
