Metric                 Value
---------------------  -----
startingCapital        357  
finalCapital           527  
profit                 170  
profitPct              47   
growth                 1    
totalTrades            12   
barCount               7    
maxDrawdown            -44  
maxDrawdownPct         -8   
maxRiskPct             2    
expectency             2    
rmultipleStdDev        4    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      42   
returnOnAccount        6    
averageProfitPerTrade  14   
numWinningTrades       5    
numLosingTrades        7    
averageWinningTrade    1    
averageLosingTrade     -1   
expectedValue          0    
