Metric                 Value
---------------------  -----
startingCapital        99   
finalCapital           179  
profit                 80   
profitPct              81   
growth                 2    
totalTrades            9    
barCount               8    
maxDrawdown            -5   
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             4    
rmultipleStdDev        5    
systemQuality          1    
profitFactor           11   
proportionProfitable   1    
percentProfitable      67   
returnOnAccount        20   
averageProfitPerTrade  9    
numWinningTrades       6    
numLosingTrades        3    
averageWinningTrade    3    
averageLosingTrade     0    
expectedValue          2    
