Metric                 Value
---------------------  -----
startingCapital        357  
finalCapital           408  
profit                 51   
profitPct              14   
growth                 1    
totalTrades            4    
barCount               9    
maxDrawdown            -8   
maxDrawdownPct         -2   
maxRiskPct             2    
expectency             2    
rmultipleStdDev        3    
systemQuality          1    
profitFactor           7    
proportionProfitable   1    
percentProfitable      75   
returnOnAccount        7    
averageProfitPerTrade  13   
numWinningTrades       3    
numLosingTrades        1    
averageWinningTrade    24   
averageLosingTrade     -10  
expectedValue          16   
